,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
79,,8,0.05,0.0,0.05,0.1,0.99,2500,0.73301225,0.26698775,,2.3247865,9299146.0,2700854.0,12,762.5596774193548,2.9698499999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
80,,8,0.1,0.0,0.05,0.001,0.95,2500,0.75924525,0.24075475,,2.49711475,9988459.0,2011541.0,4,779.046129032258,2.9991470000000002,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
81,,8,0.1,0.0,0.05,0.001,0.99,2500,0.83048025,0.16951975,,2.54964875,10198595.0,1801405.0,3,788.7835483870967,3.1111240000000007,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
82,,8,0.1,0.0,0.05,0.01,0.95,2500,0.65129925,0.34870075,,2.1902225,8760890.0,3239110.0,25,516.7325806451613,10.355246999999999,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
83,,8,0.1,0.0,0.05,0.01,0.99,2500,0.66558025,0.33441975,,2.21853075,8874123.0,3125877.0,11,776.4687096774194,3.0938779999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
84,,8,0.1,0.0,0.05,0.05,0.95,2500,0.50765975,0.49234025,,2.1194045,8477618.0,3522382.0,25,553.6141935483871,12.392451999999999,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
85,,8,0.1,0.0,0.05,0.05,0.99,2500,0.59713025,0.40286975,,2.17230175,8689207.0,3310793.0,15,760.8677419354839,2.973741000000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
86,,8,0.1,0.0,0.05,0.1,0.95,2500,0.44401675,0.55598325,,2.158778,8635112.0,3364888.0,25,543.1816129032258,14.250187000000002,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
87,,8,0.1,0.0,0.05,0.1,0.99,2500,0.54645525,0.45354475,,2.11044475,8441779.0,3558221.0,13,756.1622580645161,2.9353409999999993,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
88,,8,0.2,0.0,0.05,0.001,0.95,2500,0.53749175,0.46250825,,2.1180695,8472278.0,3527722.0,4,788.2464516129032,3.0548219999999993,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
89,,8,0.2,0.0,0.05,0.001,0.99,2500,0.487411,0.512589,,2.01227525,8049101.0,3950899.0,25,540.3864516129032,13.323032000000005,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
90,,8,0.2,0.0,0.05,0.01,0.95,2500,0.4374265,0.5625735,,1.9940435,7976174.0,4023826.0,25,492.78645161290325,11.473707000000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
91,,8,0.2,0.0,0.05,0.01,0.99,2500,0.49651975,0.50348025,,2.0548995,8219598.0,3780402.0,25,526.358064516129,12.879797000000002,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
92,,8,0.2,0.0,0.05,0.05,0.95,2500,0.372702,0.627298,,2.044034,8176136.0,3823864.0,17,747.0974193548387,2.9425030000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
93,,8,0.2,0.0,0.05,0.05,0.99,2500,0.4436225,0.5563775,,2.01378175,8055127.0,3944873.0,25,520.8516129032258,11.341196,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
